name,category,kategorija,phone,email,city,opis,description,Instagram,website
Babajic,"Carpenter, furniture","Stolar, namjestaj",,,Bar,"Izrada , dizajniranje i proektovanje namjestaja. Restauracije i popravke","Making, designing and projecting furniture. Restorations and repairs",https://instagram.com/stolarska_radionica_bar?igshid=MTIyMzRjYmRlZg==,
stolarija.me,"Carpenter, decorarion",Stolar dekoracije,068 816 328,,Crna Gora,"Nakit, ukrasi od drveta","wood decoration,jewelry ",https://instagram.com/stolarija.me?igshid=MTIyMzRjYmRlZg==,stolarija.me
,Furniture cleaning,Ciscenje namjestaja,068 019 316,,,Dubinsko ciscenje namjestaja,Deep cleaning furniture,,
,Tiler,Keramicar,069 745 938,,"Budva, Tivat, Kotor, Herceg Novi, Bar, Ulcinj","Cijena 9-10e,m2","price 9-10e,m2",,
,Plumber,Vodoinstalater,069 684 633,,Crna Gora,Renoviranje kupatila,Bathroom renovation,,
Golub,Taxi,Taxi,067 349 588,,Tivat,,,,https://www.taxi-tivat.com/
Red ,Taxi,Taxi,19719 / 19729,,"Tivat, Kotor",,,,https://www.redtaxikotor.com/
VIP,Taxi,Taxi,19666,,Budva ,,,,https://www.viptaxi.me/
Royal,Taxi,Taxi,19702 Viber: +382 67/019 702,,Podgorica,,,,http://www.royaltaxi.me/
Podgorica Taxi,Taxi,,,pgtaxi@t-com.me,,,,,
